name,signpost_id,start_s,end_s,duration_ms,begin_message,outcome
FeedWebViewDetach,0x113,31.089013333,31.089176083,0.16275000000121054,item=game_0010,completed
WebPoolReconcile,0x114,31.089228291,31.089376458,0.14816699999897764,current=game_0012 eligible=game_0012,completed
WebSlotReset,0x115,31.089233166,31.089358666,0.12549999999933448,item=game_0009,completed
FeedRenderCells,0x116,31.089369333,31.089375791,0.00645799999787755,,completed
WebPoolReconcile,0x117,31.452118958,31.45325425,1.1352920000007316,current=game_0012 eligible=game_0012,completed
WebLoadToReady,0x118,31.452210083,34.790460875,3338.2507920000003,item=game_0012 role=current slot=2,reset or cancelled
FeedRenderCells,0x119,31.452416833,31.453251958,0.8351249999982713,,completed
FeedWebViewAttach,0x11a,31.452426625,31.453075416,0.6487909999997044,item=game_0012,completed
FeedRenderCells,0x11b,31.472432583,31.472471541,0.03895800000108807,,completed
FeedDrag,0x11c,32.464284291,32.59751275,133.22845900000146,item=game_0012,drag ended
WebPoolReconcile,0x11d,32.464576166,32.464627875,0.05170899999740186,current=game_0012 eligible=none,completed
FeedRenderCells,0x11e,32.4645995,32.464626291,0.026791000003356658,,completed
FeedDeceleration,0x11f,32.59751625,32.939301416,341.7851660000011,,settled
FeedSettle,0x120,32.939318375,32.939497666,0.17929100000202425,,completed
FeedAssignWindow,0x121,32.93933,32.939396208,0.06620799999978999,item=game_0013,completed
FeedRenderCells,0x122,32.939353708,32.939391166,0.03745800000132249,,completed
FeedWebViewDetach,0x123,32.939658291,32.940620583,0.9622919999969781,item=game_0012,completed
WebPoolReconcile,0x124,32.940738166,32.940990875,0.252708999994411,current=game_0013 eligible=game_0013,completed
WebSlotReset,0x125,32.94074675,32.940958583,0.211832999994499,item=game_0010,completed
FeedRenderCells,0x126,32.940977583,32.940989625,0.012042000001599718,,completed
WebPoolReconcile,0x127,33.216149666,33.217319833,1.1701669999979458,current=game_0013 eligible=game_0013,completed
WebLoadToReady,0x128,33.216245208,36.5241935,3307.948292000006,item=game_0013 role=current slot=1,reset or cancelled
FeedRenderCells,0x129,33.216409416,33.217317458,0.9080419999989431,,completed
FeedWebViewAttach,0x12a,33.216418875,33.21712925,0.7103749999970432,item=game_0013,completed
FeedRenderCells,0x12b,33.2238805,33.22390925,0.0287499999984675,,completed
FeedDrag,0x12c,34.147950333,34.464501625,316.55129199999976,item=game_0013,drag ended
WebPoolReconcile,0x12d,34.148250291,34.148300083,0.04979200000576611,current=game_0013 eligible=none,completed
FeedRenderCells,0x12e,34.148273166,34.148298458,0.025291999996568393,,completed
FeedDeceleration,0x12f,34.464505708,34.789546583,325.0408750000062,,settled
FeedSettle,0x130,34.789550541,34.789729333,0.17879199999981665,,completed
FeedAssignWindow,0x131,34.789562416,34.789629541,0.0671249999939505,item=game_0014,completed
FeedRenderCells,0x132,34.789588125,34.7896245,0.03637500000053251,,completed
FeedWebViewDetach,0x133,34.789892,34.790218833,0.32683299999547444,item=game_0013,completed
WebPoolReconcile,0x134,34.790336666,34.790641708,0.3050420000008103,current=game_0014 eligible=game_0014,completed
WebSlotReset,0x135,34.790348791,34.790606666,0.25787500000262753,item=game_0012,completed
FeedRenderCells,0x136,34.79062625,34.790640291,0.014041000000020176,,completed
WebPoolReconcile,0x137,35.020337666,35.021539625,1.2019589999994196,current=game_0014 eligible=game_0014,completed
WebLoadToReady,0x138,35.020421625,38.424495625,3404.0740000000014,item=game_0014 role=current slot=2,reset or cancelled
FeedRenderCells,0x139,35.020642333,35.021537416,0.8950830000031829,,completed
FeedWebViewAttach,0x13a,35.020652875,35.021355083,0.7022079999998709,item=game_0014,completed
